number,value,datetime_start,datetime_complete,duration,params_eps,params_k,params_p,params_sigma,params_topk,state,dataset_n,dataset_dim
31,0.1828677703312265,2026-03-10 16:43:19.431203,2026-03-10 16:43:22.158180,0 days 00:00:02.726977,0.29544047182512345,3,1.856719086338931,0.027381760456995752,3551,COMPLETE,N/A,128
32,0.0320113245433817,2026-03-10 16:43:22.167185,2026-03-10 16:43:24.576777,0 days 00:00:02.409592,0.29640885796677485,3,1.4931279704439606,0.07327630063385002,4666,COMPLETE,N/A,128
33,0.024653080314667404,2026-03-10 16:43:24.596169,2026-03-10 16:43:26.910514,0 days 00:00:02.314345,0.20822464594172,4,1.856771164633459,0.022738856884868763,4030,COMPLETE,N/A,128
34,0.021635655399237123,2026-03-10 16:43:26.928232,2026-03-10 16:43:29.068659,0 days 00:00:02.140427,0.14564639362162426,3,1.6579800304165815,0.015383790165015421,2683,COMPLETE,N/A,128
35,0.012263856224907688,2026-03-10 16:43:29.086366,2026-03-10 16:43:31.509372,0 days 00:00:02.423006,0.2037351450915719,3,1.9838567349453442,0.5947347439366105,3536,COMPLETE,N/A,128
36,0.08801151886801044,2026-03-10 16:43:31.527764,2026-03-10 16:43:33.899533,0 days 00:00:02.371769,0.24816806066093341,2,2.0927264894827005,0.03259504356062572,3940,COMPLETE,N/A,128
37,0.05770709240534901,2026-03-10 16:43:33.918870,2026-03-10 16:43:36.291020,0 days 00:00:02.372150,0.1263298608912272,3,1.356509417323469,0.07007588251001612,4319,COMPLETE,N/A,128
38,0.11469017000514868,2026-03-10 16:43:36.309071,2026-03-10 16:43:38.398381,0 days 00:00:02.089310,0.22856596219338382,4,2.3309898962503413,0.041392057784390014,2961,COMPLETE,N/A,128
39,,2026-03-10 16:43:38.417435,2026-03-10 16:43:40.630514,0 days 00:00:02.213079,0.02150781375107479,3,1.740163137501779,0.14112868728079017,2281,PRUNED,N/A,128
40,0.0685691374619748,2026-03-10 17:19:36.315542,2026-03-10 17:19:38.417721,0 days 00:00:02.102179,0.19244317801694882,5,1.5974815299112741,0.013963050980272966,432,COMPLETE,N/A,128
41,0.05953096893384731,2026-03-10 17:19:38.439534,2026-03-10 17:19:40.584749,0 days 00:00:02.145215,0.2467914728219775,3,1.8548409471445397,0.026036446857238948,3652,COMPLETE,N/A,128
42,0.01588752327568105,2026-03-10 17:19:40.602990,2026-03-10 17:19:43.072132,0 days 00:00:02.469142,0.2638785839094909,3,1.878269363844866,0.029057483873294807,3418,COMPLETE,N/A,128
43,0.06918943502616848,2026-03-10 17:19:43.085965,2026-03-10 17:19:45.559832,0 days 00:00:02.473867,0.16380456408719396,3,2.0807772799527946,0.017108021187605165,3763,COMPLETE,N/A,128
44,0.07575246336892164,2026-03-10 17:19:45.577450,2026-03-10 17:19:47.600008,0 days 00:00:02.022558,0.2415783047138942,2,1.8016658034200521,0.04906436945516553,4214,COMPLETE,N/A,128
45,0.013271699097475546,2026-03-10 17:19:47.618697,2026-03-10 17:19:49.729705,0 days 00:00:02.111008,0.2779964252960715,4,1.476637881253747,0.9686463646503974,4674,COMPLETE,N/A,128
46,0.023337067057781047,2026-03-10 17:19:49.748379,2026-03-10 17:19:51.980600,0 days 00:00:02.232221,0.11451066192065452,5,1.993800222540985,0.035603753058417766,3930,COMPLETE,N/A,128
47,0.07541109157350552,2026-03-10 17:19:51.998461,2026-03-10 17:19:54.203169,0 days 00:00:02.204708,0.15008588968690303,6,2.527256958174414,0.06360944648380512,3105,COMPLETE,N/A,128
48,0.045521985103141926,2026-03-10 17:19:54.220886,2026-03-10 17:19:56.317880,0 days 00:00:02.096994,0.21693623776545382,3,1.6657358005346372,0.09313896437190347,3636,COMPLETE,N/A,128
49,0.010994689083181691,2026-03-10 17:19:56.338506,2026-03-10 17:19:58.427572,0 days 00:00:02.089066,0.29326760006043984,4,2.9948434921692133,0.022996544768727624,2829,COMPLETE,N/A,128
50,,2026-03-10 17:19:58.445608,2026-03-10 17:20:00.532097,0 days 00:00:02.086489,0.016596084638016186,2,1.2876311656629253,0.24258861191119685,4545,PRUNED,N/A,128
51,0.051876076547319544,2026-03-10 17:20:00.548194,2026-03-10 17:20:02.783373,0 days 00:00:02.235179,0.23676625535541768,3,1.928462046582791,0.04976203941724989,4102,COMPLETE,N/A,128
52,0.055110876980393166,2026-03-10 17:20:02.801307,2026-03-10 17:20:04.922815,0 days 00:00:02.121508,0.18950122508934142,3,2.1659254248660873,0.041208023731298025,4822,COMPLETE,N/A,128
53,0.08636949966879612,2026-03-10 17:20:04.942995,2026-03-10 17:20:07.202134,0 days 00:00:02.259139,0.2533742334163407,3,2.0708303596961666,0.09076916069059378,3825,COMPLETE,N/A,128
54,0.06788217927256217,2026-03-10 17:20:07.220786,2026-03-10 17:20:09.185117,0 days 00:00:01.964331,0.1559748670185131,2,1.729266274760798,0.011996678220339573,4370,COMPLETE,N/A,128
55,0.03223696956245379,2026-03-10 17:20:09.204305,2026-03-10 17:20:11.350827,0 days 00:00:02.146522,0.05047782788132504,4,2.291866096216095,0.12238838752380601,4125,COMPLETE,N/A,128
56,0.01959554945524238,2026-03-10 17:20:11.362950,2026-03-10 17:20:13.465185,0 days 00:00:02.102235,0.21806050345887848,4,1.1191106229401195,0.05681901144694958,3284,COMPLETE,N/A,128
57,0.033449507094342495,2026-03-10 17:20:13.484351,2026-03-10 17:20:15.703076,0 days 00:00:02.218725,0.07315587402329483,3,1.8323553094193754,0.019196626056200768,3514,COMPLETE,N/A,128
58,0.03844441746714539,2026-03-10 17:20:15.722346,2026-03-10 17:20:17.822509,0 days 00:00:02.100163,0.13715886332280836,5,1.9152398334365146,0.03603582479671598,4981,COMPLETE,N/A,128
59,0.14347230516329504,2026-03-10 17:20:17.841505,2026-03-10 17:20:19.944898,0 days 00:00:02.103393,0.18132339271748482,2,1.5394354110409645,0.027003244797605245,1671,COMPLETE,N/A,128
