number,value,datetime_start,datetime_complete,duration,params_eps,params_k,params_p,params_sigma,params_topk,state,dataset_n,dataset_dim
18,0.045712674602187996,2026-03-09 17:16:23.785096,2026-03-09 17:16:25.737953,0 days 00:00:01.952857,0.028986823088471596,28,2.5238765931137648,0.08563581568714734,797,COMPLETE,4000,128
19,1.233299390445756e-05,2026-03-09 17:16:25.758186,2026-03-09 17:16:27.916610,0 days 00:00:02.158424,0.32198760979344965,42,2.6803437993669967,0.13123164413906582,554,COMPLETE,4000,128
20,,2026-03-09 17:50:22.156258,,,0.026344520071320442,14,1.3259314743279649,0.03946390256493672,1851,RUNNING,4000,128
21,,2026-03-09 17:50:40.793482,,,0.0732739629200417,15,2.408557863204852,0.04940601273578664,1803,RUNNING,4000,128
22,,2026-03-09 17:50:56.176145,,,0.026295360194186258,16,1.4132535636251546,0.05509520657842741,1730,RUNNING,4000,128
23,,2026-03-09 17:51:10.779821,,,0.026746041884937285,15,1.031790687683971,0.04776543168705218,2070,RUNNING,4000,128
24,0.11379473646475556,2026-03-09 17:53:01.143224,2026-03-09 17:53:03.630936,0 days 00:00:02.487712,0.06813091914866717,16,1.4684780783477311,0.04592305258718459,1631,COMPLETE,4000,128
25,0.026765167238276797,2026-03-09 17:53:03.653016,2026-03-09 17:53:06.106386,0 days 00:00:02.453370,0.07379183570538009,16,1.2897296173785429,0.045381561251993476,1675,COMPLETE,4000,128
26,0.06733702582792923,2026-03-09 17:53:06.126335,2026-03-09 17:53:08.505438,0 days 00:00:02.379103,0.02810161559535658,7,1.4651908136459393,0.06671709641598694,2919,COMPLETE,4000,128
27,0.21553641276444938,2026-03-09 17:53:08.524666,2026-03-09 17:53:10.931023,0 days 00:00:02.406357,0.052237840757059104,24,1.0723344398429866,0.02859387788319399,1568,COMPLETE,4000,128
28,0.0006862659577564751,2026-03-09 17:53:10.952140,2026-03-09 17:53:13.302905,0 days 00:00:02.350765,0.14233325551162593,26,1.0489134308722154,0.02530045577379979,1577,COMPLETE,4000,128
29,0.3173416157786011,2026-03-09 17:53:13.322843,2026-03-09 17:53:15.858310,0 days 00:00:02.535467,0.05021418992931449,24,1.3466983611890513,0.019019833326462184,2369,COMPLETE,4000,128
30,0.11124240949043981,2026-03-09 17:53:15.879654,2026-03-09 17:53:18.383460,0 days 00:00:02.503806,0.05625807829145612,33,1.0074066976956497,0.010175756011512297,2611,COMPLETE,4000,128
31,0.05303136082497224,2026-03-09 17:53:18.403792,2026-03-09 17:53:20.772447,0 days 00:00:02.368655,0.043717141101572835,22,1.3445963781139443,0.01612764143791931,2302,COMPLETE,4000,128
32,0.05764368314219929,2026-03-09 17:53:20.791813,2026-03-09 17:53:23.110286,0 days 00:00:02.318473,0.10218081483489849,39,1.666054564714574,0.015571113021060212,3751,COMPLETE,4000,128
33,0.01089354661381832,2026-03-09 17:53:23.129909,2026-03-09 17:53:25.383003,0 days 00:00:02.253094,0.0243693520140023,26,1.7063110047889518,0.1567223380999706,1278,COMPLETE,4000,128
34,,2026-03-09 17:53:25.395507,2026-03-09 17:53:27.931444,0 days 00:00:02.535937,0.013670428106800199,45,1.2071376415268973,0.03365031353792035,2048,PRUNED,4000,128
35,0.012490637419713605,2026-03-09 17:53:27.947931,2026-03-09 17:53:30.342264,0 days 00:00:02.394333,0.0669645662608051,14,1.44959745519768,0.022270847168734145,1620,COMPLETE,4000,128
36,0.06586278924859744,2026-03-09 17:53:30.360909,2026-03-09 17:53:32.788381,0 days 00:00:02.427472,0.07814778275292034,22,1.1565489184466697,0.09439646071062506,3090,COMPLETE,4000,128
37,0.09350546963041276,2026-03-09 17:53:32.808112,2026-03-09 17:53:35.142945,0 days 00:00:02.334833,0.05219996856554097,19,1.3448834815769128,0.0327959504385971,1927,COMPLETE,4000,128
38,0.0005376918029737048,2026-03-09 17:53:35.161775,2026-03-09 17:53:37.723322,0 days 00:00:02.561547,0.22017786714671583,14,1.5316459780965017,0.0201283669566353,1271,COMPLETE,4000,128
39,0.06756186506863192,2026-03-09 17:53:37.742011,2026-03-09 17:53:40.258737,0 days 00:00:02.516726,0.014150827724866123,30,1.1303494716961358,0.01351235593645745,2311,COMPLETE,4000,128
40,0.009249656951426571,2026-03-09 17:53:40.278709,2026-03-09 17:53:42.911618,0 days 00:00:02.632909,0.04339623284538857,32,2.1117130525077696,0.04581740434267606,1303,COMPLETE,4000,128
41,0.00044018669991374,2026-03-09 17:53:42.933609,2026-03-09 17:53:46.209575,0 days 00:00:03.275966,0.12429722591559311,10,1.603648897724165,0.20611221003007701,2042,COMPLETE,4000,128
42,0.1570552262877692,2026-03-09 17:53:46.237705,2026-03-09 17:53:48.731978,0 days 00:00:02.494273,0.06180107645571514,25,1.2587553745010887,0.026294984640575125,2656,COMPLETE,4000,128
43,0.03450219120692587,2026-03-09 17:53:48.750302,2026-03-09 17:53:51.355902,0 days 00:00:02.605600,0.0869555423128533,37,1.8041221317593452,0.026098244427802106,2894,COMPLETE,4000,128
